구분,년도,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
,항목,자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원)
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)에프앤에프홀딩스,007700,657338363,379068947,146538919,486336541,885117753,292469459,433598155,489800945,167537418,118422730,149153486,34.21,258.68,15400000,840750686,496833637,207595907,592902646,803490624,275790247,387311612,594644098,246106587,121827383,146326335,41.39,239.33,15400000
(주)엔씨소프트,036570,3185181621,1935418843,349981740,2369748259,1525867647,0,968937380,2502644667,682536954,307491685,474319119,27.27,553.01,21954022,3972964831,2302172053,402711109,2885135625,2242430937,0,1373892119,3185132880,787831951,627523554,745656952,24.73,571.67,21954022
(주)엘에스,006260,3502957000,143311000,73307000,2974174000,87110000,0,41851000,3196354000,306603000,51642000,78337000,9.59,195.49,32200000,3619489000,178289000,78609000,3060871000,165747000,0,40886000,3310573000,308916000,122509000,78829000,9.33,226.8,32200000
(주)엘지,003550,9577961000,826059000,156049000,6003695000,874672000,0,230877000,9326745000,251216000,581161000,591807000,2.69,529.36,175871808,10570840000,2546281000,178795000,6947881000,1016202000,0,222179000,10269797000,301043000,1331351000,597343000,2.93,1424.13,175871808
(주)엘지상사,001120,2527925654,611125954,655476273,930735263,3080463942,2946081531,145843671,1207953763,1319971891,58886114,15508383,109.27,93.23,38760000,2610761219,770389037,588753583,1219298670,3258240041,3151014170,131619244,1369224039,1241537180,295262540,20381046,90.67,130.85,38760000
(주)엘지생활건강,051900,4093775065,1009793904,793017322,3151083532,4536975744,1695356002,1982261323,3264366905,829408160,622867720,784442676,25.41,127.34,17717894,4560931342,892925749,670223105,3585018822,4418256992,1745494125,1887153592,3793474494,767456848,618438771,728595740,20.23,133.23,17717894
(주)엘지유플러스,032640,16834279000,4458406000,4047947000,3733573000,12337746000,0,11645979000,7132682000,9701597000,445644000,2253049000,136.02,110.14,436611361,17253980000,4536761000,3906705000,4018265000,12352879000,0,11514900000,7418123000,9835857000,452541000,2350492000,132.59,116.13,436611361
(주)엘지하우시스,108670,2168161000,772204000,667276000,256035000,2710501000,2132173000,536287000,916519000,1251642000,-15324000,311322000,136.56,115.72,10000000,2023506000,852202000,709474000,150203000,2596510000,1983980000,538694000,810585000,1212921000,-105643000,397575000,149.64,120.12,10000000
(주)엘지화학,051910,27027086000,8349633000,4976280000,14111594000,22312561000,18320366000,3409770000,16460230000,10566856000,365924000,1943151000,64.2,167.79,78281143,25850150000,4934284000,4908205000,13891061000,20830009000,16483775000,3231797000,16963505000,8886645000,-98223000,5236679000,52.39,100.53,78281143
(주)영원무역,111770,1839140306,448333423,379588106,462389476,1358278805,1171612631,67514503,1288678153,550462154,66801910,59837965,42.72,118.11,44311468,1797289419,512097142,376362718,600853141,1140634941,969100387,57616593,1260807498,536481921,59519880,148007852,42.55,136.06,44311468
