구분,년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
,항목,자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),종가(원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),종가(원)
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)나이스홀딩스,034310,423389599,4268790,59862522,109198998,40325277,0,17709047,336349524,87040075,-16465295,24167521,25.88,7.13,37882300,17950,438147427,8247605,86838217,107358369,44669568,0,17202220,334729120,103418308,5118265,26795951,30.9,9.5,37882300,20900
(주)남선알미늄,008350,294949630,128608273,82665705,109280451,347834921,312961290,25291951,168875400,126074231,25376157,24353843,74.66,155.58,110486980,2830,292559970,128507223,73017831,116764357,324782177,289895888,23293395,176357497,116202473,8338512,27827235,65.89,175.99,110486980,3230
(주)남성,004270,168663357,58034814,73083461,50447266,63605003,55793000,4839238,83103125,85560232,-3506408,-465011,102.96,79.41,36212160,1910,168351672,60421361,68318489,47657522,57819890,50618204,4798873,86166403,82185269,-2135357,-4419452,95.38,88.44,36212160,3150
(주)넥센,005720,660401955,106795480,79079482,378538783,341728815,295865191,26853392,558546695,101855261,31162898,26119849,18.24,135.05,57144577,5500,651025593,99464056,56840765,398792489,352221398,306735979,27824923,571789146,79236447,11175516,30417164,13.86,174.99,57144577,6050
(주)넥스트사이언스,003580,151988538,83028921,57620694,-21709343,10347565,9357342,3493688,72300049,79688489,-7860173,3126010,110.22,144.1,22510021,6100,115161883,47103104,29272439,-50883583,10988830,8324762,7804631,71412365,43749518,-29300587,-7118127,61.26,160.91,28434137,8090
(주)노루페인트,090350,555644322,201600480,168066958,176440190,537142428,436348307,83037050,291347902,264296420,14431267,17976429,90.72,119.95,20463126,8230,570495808,225634681,164054534,186949879,564410946,449684023,90929499,301854965,268640842,15600123,45995895,89,137.54,20463126,8150
(주)노루홀딩스,000320,359065830,71511713,24520819,278622697,32516984,0,15847958,303866388,55199442,5080181,7440419,18.17,291.64,13476401,12250,358530733,55461982,18800677,277636789,29788835,0,15165287,302880480,55650253,3506339,20648492,18.37,295,13476401,12500
(주)녹십자,006280,1580579529,783351671,260850381,710608305,1141422783,848859325,246252646,1056300299,524279230,47932741,12215513,49.63,300.31,11686538,136000,1742374171,797143326,341251023,704889247,1146093542,836424682,267807744,1049297612,693076559,11840904,42703292,66.05,233.59,11686538,132500
(주)녹십자홀딩스,005250,993043941,103795807,305504923,487859880,140083966,0,104661886,583341883,409702058,19510510,59735500,70.23,33.98,49543070,25100,928991658,18671023,221841119,503534407,63553295,0,36058856,596000707,332990951,28053008,34191330,55.87,8.42,49543070,22250
(주)농심,004370,2406700249,877680149,456700513,1815616897,1857814054,1362001740,428868833,1894351283,512348966,75665004,105931161,27.05,192.18,6082642,254500,2496940454,750893974,516795186,1836791703,1905694049,1409083926,447262864,1916385075,580555380,56271705,133040489,30.29,145.3,6082642,240500
